id,name,name_en,order_id,existence
0,'全日程終了',finished,0,1
1,'男子個人実戦',zissen_man,1,1
2,'男子個人法形',hokei_man,2,1
3,'女子個人実戦',zissen_woman,3,1
4,'女子個人法形',hokei_woman,4,1
5,'壮年法形',hokei_sonen,5,1
6,'女子団体実戦',dantai_zissen_woman,6,1
7,'男子団体実戦',dantai_zissen_man,7,1
8,'男子団体法形',dantai_hokei_man,8,1
9,'女子団体法形',dantai_hokei_woman,9,1
10,'男子団体展開',tenkai_man,10,1
11,'女子団体展開',tenkai_woman,11,1
12,'個人法形(新人の部)',hokei_newcommer,12,0
13,'男子級位実戦',zissen_kyuui_man,13,0
14,'男子級位法形',hokei_kyuui_man,14,0
15,'女子級位実戦',zissen_kyuui_woman,15,0
16,'女子級位法形',hokei_kyuui_woman,16,0
17,'団体実戦',dantai_zissen,17,0
18,'団体法形',dantai_hokei,18,0
19,'団体展開',tenkai,19,0
20,'個人法形(級位の部)',hokei_kyuui,20,0
21,'個人実戦(壮年の部) 男子',zissen_sonen_man,21,0
22,'個人実戦(壮年の部) 女子',zissen_sonen_woman,22,0
23,'個人法形(制の法形)',hokei_sei,23,0
24,'個人法形(命) 有段者の部',hokei_men,24,0
25,'個人法形(命) 新人/級位の部',hokei_mei_kyuui_newcommer,25,0
