id,name,name_en,order_id,existence
0,'全日程終了',finished,0,1
1,'個人実戦(男子の部)',zissen_man,1,1
2,'個人法形(男子の部)',hokei_man,3,1
3,'個人実戦(女子の部)',zissen_woman,2,1
4,'個人法形(女子の部)',hokei_woman,4,1
5,'壮年法形',hokei_sonen,14,0
6,'女子団体実戦',dantai_zissen_woman,15,0
7,'男子団体実戦',dantai_zissen_man,16,0
8,'男子団体法形',dantai_hokei_man,17,0
9,'女子団体法形',dantai_hokei_woman,18,0
10,'男子団体展開',tenkai_man,19,0
11,'女子団体展開',tenkai_woman,20,0
12,'個人法形(新人の部)',hokei_newcommer,5,1
13,'男子級位実戦',zissen_kyuui_man,21,0
14,'男子級位法形',hokei_kyuui_man,22,0
15,'女子級位実戦',zissen_kyuui_woman,23,0
16,'女子級位法形',hokei_kyuui_woman,24,0
17,'団体実戦',dantai_zissen,25,0
18,'団体法形',dantai_hokei,12,1
19,'団体展開',tenkai,13,1
20,'個人法形(級位の部)',hokei_kyuui,6,1
21,'個人実戦(壮年の部) 男子',zissen_sonen_man,10,1
22,'個人実戦(壮年の部) 女子',zissen_sonen_woman,11,1
23,'個人法形(制の法形)',hokei_sei,9,1
24,'個人法形(命) 有段者の部',hokei_men,7,1
25,'個人法形(命) 新人/級位の部',hokei_mei_kyuui_newcommer,8,1
