id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,20,17,,9,,,
2,6,32,,18,,,
3,3,28,19,,,,
4,12,23,,19,,,
5,9,22,20,,,,
6,7,1,,20,,,
7,25,29,21,,,,
8,31,14,,21,,,
9,13,,18,,,,
10,5,15,,22,,,
11,11,8,22,,,,
12,10,2,,23,,,
13,26,4,23,,,,
14,19,33,,24,,,
15,24,18,24,,,,
16,21,16,,25,,,
17,27,30,25,,,,
18,,,26,,,,
19,,,,26,,,
20,,,27,,,,
21,,,,27,,,
22,,,,28,,,
23,,,28,,,,
24,,,,29,,,
25,,,29,,,,
26,,,30,,,,
27,,,,30,,,
28,,,,31,,,
29,,,31,,,,
30,,,33,,,,
31,,,,33,,,
32,,,,,,,
33,,,,,,,
