id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,rigth_retire
1,62,5,,8,,,
2,1,42,15,,,,
3,51,31,,16,,,
4,43,3,23,,,,
5,6,37,24,,,,
6,34,57,,31,,,
7,54,8,,39,,,
8,46,,47,,,,
9,48,9,,47,,,
10,49,13,40,,,,
11,67,17,,40,,,
12,70,21,41,,,,
13,47,25,,41,,,
14,50,29,42,,,,
15,,33,,42,,,
16,35,,43,,,,
17,45,27,,43,,,
18,65,23,44,,,,
19,52,19,,44,,,
20,44,15,45,,,,
21,63,11,,45,,,
22,53,7,46,,,,
23,,61,,46,,,
24,,2,,48,,,
25,10,59,48,,,,
26,14,68,,49,,,
27,18,38,49,,,,
28,22,58,,50,,,
29,26,66,50,,,,
30,30,39,,51,,,
31,64,,51,,,,
32,40,36,,52,,,
33,56,32,52,,,,
34,71,28,,53,,,
35,41,24,53,,,,
36,55,20,,54,,,
37,60,16,54,,,,
38,69,12,,55,,,
39,4,,55,,,,
40,,,,59,,,
41,,,56,,,,
42,,,,56,,,
43,,,57,,,,
44,,,,57,,,
45,,,58,,,,
46,,,,58,,,
47,,,59,,,,
48,,,,60,,,
49,,,60,,,,
50,,,,61,,,
51,,,61,,,,
52,,,,62,,,
53,,,62,,,,
54,,,,63,,,
55,,,63,,,,
56,,,,65,,,
57,,,64,,,,
58,,,,64,,,
59,,,65,,,,
60,,,,66,,,
61,,,66,,,,
62,,,,67,,,
63,,,67,,,,
64,,,,68,,,
65,,,68,,,,
66,,,,69,,,
67,,,69,,,,
68,,,71,,,,
69,,,,71,,,
70,,,,,,,
71,,,,,,,
